Input_pid,Output_eng
"See as everybodi jus dey hail yu, yu bi baddo o.!",Look at how everyone is just hailing you; you are a boss!
Oh baby azama.make i touch ur azama,"Oh baby, let me touch you."
Omo you gather backyard means you've got ass,You've got a big butt.
John dey chop adro for notin less dan seven years now.,John has been eating adro for no less than seven years now.
Jide likes awoof beer,Jide likes free beer.
"u be another arro, just like ur friend","You are another fool, just like your friend."
Bad belle people go try front.,Envious people will try to show off.
Abeg limi o! I don tire. Dis work too much!,"Please, take it easy! I'm tired. This work is too much!"
I dey go B-Side,I am going to the other side.
your trip to togo go be awara awara if u follow cotonou,Your trip to Togo will be very rough if you go through Cotonou.
Ayangba girls are dangerous,Ayangba girls are dangerous.
A: Ol boy that one no fit happen.B: As in wetin now?A: Her shakara too much and me sef I no get time.,"A: Dude, that can't happen. B: What do you mean? A: She's too full of herself and I also don't have the time."
i just want wear my baffs wait i dey come,"I just want to wear my clothes, I'll be right back."
"aproko, mind your business.",Mind your business.
Abeg go baff you dey smell,"Please go and bathe, you smell."
"Chinedu! see this area boy, how you dey?","Chinedu! Look at this street thug, how are you?"
"Nna na Abk dey oh....I study at the Delta state university, Abraka.",Dad is in Abraka.
Odibo maro is a baddo on twitter,Odibo is a tough guy on Twitter.
Give us gist as e dey hot.,Give us the latest gossip while it's still fresh.
A: Arsenal don pack finish,Arsenal has finished packing.
I bala dat chick last week.,I met that girl last week.
"Portsmouth no sabi play ball, dem dey dey do anywhere belle face.Whi",Portsmouth doesn't know how to play football; they just do whatever they feel like.
When the banta go start make una no run o.,"When the banter starts, don't run away."
too many girls wey dey 4 dat unilag dey flex aristo,Too many girls in that University of Lagos are flaunting sugar daddies.
Man I dey fear all those area boys for alab market,I'm scared of those thugs in Alaba market.
Man this one na arrange yua sef,"Man, get yourself together."
Mutunin aboki na ne.Example of misuse: The guy na aboki!,The person is my friend.
I dey pray to God make him send me awuuff car oh. I really need a car.,I am praying to God to miraculously provide me with a car. I really need a car.
dat cloth is bam,That cloth is awesome.
Chinedu na ajepako boy wey like to dey pose.,Chinedu is a street-smart boy who likes to show off.
Gbas gbos your padi club with club with Coca-Cola,Hit your friend's club with Coca-Cola.
Omo this asala sweet o,This palm wine is sweet.
You dey go ABU?,Are you going to ABU?
bangers world is signing new artists,Bangers World is signing new artists.
Bolanle Where u Dey? I Dey for ABK O!!,"Bolanle, where are you? I am in Abeokuta!!"
"Jide, why you always like to do ajayi?","Jide, why do you always like to show off?"
Abeg come wash my car,Please come wash my car.
Oga e be like say you go arrange yua sef,"Boss, it seems like you need to get yourself together."
You see that Girl...She be Ashewo O!!I always dey see her for Allen Ave.,You see that girl... She's a prostitute!! I always see her on Allen Avenue.
"omo see that agharacha, she think say she fit carry ma moni go.","Look at that girl, she thinks she can take my money away."
Yoruba girls no get bakasi means yoruba girls have little or no ass,Yoruba girls have little or no ass.
Leave me make I chop. Abi na wetin,Let me eat.
An elder who beats younger ones,An elder who beats younger ones
May your road be rough. Anuofia!!!God punish you. Anuofia!!,May your road be rough. Beast!!! God punish you. Beast!!!
Allow the acada o! en think e be professor,Let the scholar be! He thinks he's a professor.
Amaka na ashawo,Amaka is a prostitute.
janet papa ugly pass agaba,Janet's father is uglier than Agaba.
see that fine barny,Look at that beautiful girl.
The guy babe na akata!That akata babe dey on point mhen!,"The guy's girlfriend is amazing! That amazing girlfriend is really impressive, man!"
dem dey blow banger for road means fire crackers are going off on the street,Firecrackers are going off on the street.
Oboy i dey trip for dat banny.,"Guy, I'm really falling for that girl."
Are you akpamo,Are you hungry?
i dey go barbing salon,I am going to the barber shop.
Dat woman wey dey form nai get dat batcher for there.,That woman who is pretending owns that makeshift shelter over there.
i dey go barb my hair,I am going to cut my hair.
see that that babe bakassi.,Look at that girl's buttocks.
"where ur bani dey na, make she come toast chow.","Where is your sister, let her come and make food."
John don blow arrow means john has made a grammatical error while speaking. Especially english.,"John has made a grammatical error while speaking, especially in English."
"this night na bash all through.before you know, i don bash em car","Tonight is a total party. Before you know it, I had hit their car."
That woman get serious belle,That woman is seriously pregnant.
i can't find my bathroom slippers,I can't find my bathroom slippers.
Awon homeboiz just dey baz like there's no tommorow.,The homeboys are just showing off like there's no tomorrow.
Leave that wan. Na proper basket-mouth be that.,Leave that one. That's a real blabbermouth.
"beg beg, you even beg pass beggars means one who begs more than the poor beggars does.",You beg even more than the poor beggars do.
O boy dat man get big belle,That man has a big belly.
I no get belle to fit laugh,I don't have the stomach to laugh.
"The motor don spoil and rain dey fall, so based on logistics, we go just siddon for house today.","The car has broken down and it's raining, so based on logistics, we'll just stay at home today."
money don dey.,Money is available.
Koko too like do amiboh.,Koko likes gossiping a lot.
"That our neighbor wife leave him, because his bazuka is not working.",That our neighbor's wife left him because his bazooka is not working.
Dat car na Akpruka oh!,That car is very old!
where you get that blouse? no be bend down select?,Where did you get that blouse? Isn't it from a thrift store?
you get big eye simply means you are greedy,You are greedy.
Kunle na real Akanchan,Kunle is a real miser.
"For this party, drinks bin dey berekete","For this party, there were plenty of drinks."
See as your beer-beer dey like goat own.,Look at how your beard looks like that of a goat.
man that akamu look sweet,That pap looks sweet.
biko give me that pencil means please pass me that pencil,Please pass me that pencil.
Joe don become big man overnight ohh means joe has gotten rich overnight,Joe has gotten rich overnight.
She don turn big after school,She has grown big after school.
"you carry my car go lagos island, bicos why?","You took my car to Lagos Island, why?"
Every sunday when I go church I dey see Junior dey throw banga,"Every Sunday when I go to church, I see Junior throwing firecrackers."
I know you mama bifor-bifor,I knew your mother a long time ago.
"bifor nko, wetin u think say u go get.","Before then, what do you think you will get?"
"I for like buy new shoes, but my berry never black.","I would like to buy new shoes, but my money is not yet available."
Chioma na Amebo,Chioma and Amebo
Oya give Jide dat blom blom,Give Jide that gun.
"Aunty Binta, e be like say I go soon sleep o, because I don belle full.","Aunty Binta, it seems like I will soon sleep because I am full."
"it will be berra if you do more publicity for this lovely creation, called naija lingo.","It will be better if you do more publicity for this lovely creation, called Naija lingo."
"Omo, NYSC no gree pay us our allawee o!","Man, NYSC refuses to pay us our allowance!"
Yinka na just Alan pozzer,Yinka is just showing off like Alan.
Ah Ah!  Neighbors see barawo jus here na!,"Ah Ah! Neighbors, see a thief right here!"
The guy bia bia don white finish.,The guy's beard has completely turned white.
dat girl get nice bobby. means dat girl has nice breast,That girl has nice breasts.
"u na beta pikin we dey go church, no be like your family pipu.","You are a good child who goes to church, not like your family people."
"Y a u bobing,  (hia mins why are you moving up and down)",Why are you moving up and down?
"Tonye, can you alanta?","Tonye, can you dance the alanta?"
O boi I dey hunger seriously. Abeg give me five Naira make I go buy biscuit,"Guy, I'm seriously hungry. Please give me five Naira so I can go buy biscuit."
Chinedu just blast scatter the ball into Yinka's post,Chinedu just powerfully kicked the ball into Yinka's goal.
my akawo account done dry finish.,My savings account is completely empty.
"I no get money to buy new clothes, na only bend down wey I fit afford","I don't have money to buy new clothes, I can only afford second-hand ones."
Abegi! Go boil beans,Please! Go boil beans.
see blom blow for up means look at a balloon in the sky,Look at a balloon in the sky.
Oh boi! dis bobozee make sense troway! means Boy! this cassava chips is delicious!,Boy! This cassava chips is delicious!
"Today really hot, I dey debate lick Ice-cream or drink Coke... abeg all join","Today is really hot, I am debating whether to lick ice cream or drink Coke... please, both."
Andypipi no get sense at all!,Andypipi has no sense at all!
Ahhh you don no get blokkus? means ahh don't you have a scrotum?,"Ahh, don't you have a scrotum?"
"I go Amaka house last Friday, she get one big bingo like this","I went to Amaka's house last Friday, she has a big dog like this."
jennifer make we go buy jeans for bend down boutique means jenniffer lets go shop for some jeans from the fairly used clothes place.,"Jennifer, let's go shop for some jeans from the fairly-used clothes place."
Drogba fire Okocha shot for blocos.,Drogba shot Okocha's shot at the blocks.
Make we go play boju boju means lets go play hide and seek game.,Let's go play hide and seek game.
Chey! cinthia look dat bobo,"Wow! Cynthia, look at that guy."
omo he be bolo,He is dumb.
area boys dey fight means hooligans are fighting,Hooligans are fighting.
Sade na confirm bizzybody.. see how she dey yan that her dirty mouth,Sade is a confirmed busybody. Look at how she's talking with her dirty mouth.
mama peter don born bom boi means peter's mom has given birth to a baby boy,Peter's mom has given birth to a baby boy.
"that girl na animashaun i swear, see as she dey sleep around anyhow","That girl is promiscuous, I swear, look at how she sleeps around carelessly."
That guy in bones.,That guy is very thin.
e don tey since i chop boli,It's been a long time since I ate roasted plantain.
Dat guy bololo dey shine sha!,That guy's head is really shiny though!
1.You don go see mama Bon boy?,Have you gone to see Mama Bon's boy?
ma boo dey fine pass una own.,My girlfriend is more beautiful than yours.
your father na booze man means your dad is a drunkard,Your dad is a drunkard.
I like your bones.,I like your bones.
I wan do awoko till i finish this yeye book,I want to read intensively until I finish this useless book.
"Bobs, how you dey?, Bobs, no be small thing.","Bobs, how are you? Bobs, it's not a small thing."
"If you wan bone well, you need to wear bones.","If you want to heal properly, you need to wear a cast."
Mummy! meet my boo?,"Mommy, meet my significant other?"
dis boy bad gan. means dis boy is too bad.,This boy is too bad.
My wife don born bomboy.Jide is 33 but he behaves like a bomboy,My wife has given birth to a boy. Jide is 33 but he behaves like a boy.
Dat brokoto sweet oh,That soup is delicious.
Chisom na my broda,Chisom is my brother.
How u dey peter? man body dey inside clothe means how are you peter? i'm surviving,"How are you, Peter? I'm surviving."
the guy don blow,The guy has made it big.
"Thank God, I no get Bow Leg","Thank God, I don't have bow legs."
"the food borku, come chop","The food is plenty, come and eat."
Wetin bi dis? Di oyibo blow Nija pidgin!,What is this? The foreigner speaks Nigerian Pidgin!
dis medicine na for my born boy,This medicine is for my son.
Me take book from book haus,I took a book from the library.
You dey speak brokun?,Do you speak Pidgin?
"that girl na real botty, she no sabi wash plate",That girl is very lazy; she doesn't know how to wash plates.
"Bobo no get sense, na why im dey cross road anyhow.","The guy has no sense, that's why he crosses the road recklessly."
Miss Amara have brekete apples from orchard.,Miss Amara has a lot of apples from the orchard.
bosun give nathan his pencil pouch back!bosun stop stabbing nathan!,"Bosun, give Nathan his pencil pouch back! Bosun, stop stabbing Nathan!"
i dey bow na u ooooo,I am bowing to you.
me i no dey braga or you to dey braga,"I don't brag, nor do you brag."
Shey you be brikito. Means r u British. Why you dey yan brikito. Means why r u speaking english,Are you British? Why are you speaking English?
You don see the Boss for this film? The man big o,Have you seen the Boss in this movie? The man is big.
"Bros how far?, See those brosses","Bro, what's up?"
I just dey come from bongo.,I am just coming from the club.
Dipo is always bros laffing,Dipo is always laughing.
Me and Amarachi go one restaurant you for see this boy yoyo wey we see.,"Amarachi and I went to a restaurant, you should have seen this boy we saw."
"Brotherly, How are you doing today?","Brother, how are you doing today?"
When will you go stop to dey buga,When will you stop showing off?
why you like to dey go that bukateria?,Why do you like going to that cafeteria?
"Oga abeg you get biro, make I carry write something?","Boss, please do you have a pen, so I can write something?"
Dat buredi dey sweet oh,That bread is delicious.
The match between Brock Lesnar and Seth Rollins was a bloodly one.,The match between Brock Lesnar and Seth Rollins was a bloody one.
Amaka and her friends dey wear pink aso ebi for her wedding,Amaka and her friends are wearing pink aso ebi for her wedding.
food boku for that party wey i go last night,There was a lot of food at the party I attended last night.
why you dey follow that bushmo,Why are you following that bush path?
Betta don come. things don betta.,Better has come. Things have gotten better.
Guy i broke i need bah,"Guy, I'm broke; I need help."
"afa na, how you dey","What's your name, how are you?"
Na who dey fire bullet like this? means who's speaking with lots of grammatical errors?,Who is speaking with lots of grammatical errors?
Chidi dey use chinedu car borrow pose,Chidi is showing off with Chinedu's borrowed car.
i wan go that buka to chop,I want to go to that local restaurant to eat.
"Choi, see Bobbie!!!","Wow, look at Bobbie!!!"
I wan go buy bulala,I want to go buy a whip.
let me take my kip,Let me take my nap.
1.This man face baraje oh,This man's face is very rough.
rufus na bad-belle,Rufus is envious.
"omo, borrow leg o, wahala dey come ur side.","Guy, run away, trouble is coming your way."
I cannur say one word,I cannot say one word.
I chop rice with banga soup this morning,I ate rice with palm nut soup this morning.
make some tell that man say e brokkus dey show.,Someone should tell that man that his trousers are torn.
Na so so broda-broda dem dey do for our universities these days means the educational system is corrupt and only those that has connections or those with friends and relation working in higher institution get admitted to study,The educational system is corrupt and only those that have connections or those with friends and relations working in higher institutions get admitted to study.
Men! Casala dey oh,Men! There's trouble oh.
Yusuf dey cak that his blue shirt for my party,Yusuf is wearing his blue shirt to my party.
"Cannabis, also known as Marijuana among other names, is a psychoactive drug from the Cannabis plant used primarily for medical or recreational purposes","Cannabis, also known as Marijuana among other names, is a psychoactive drug from the Cannabis plant used primarily for medical or recreational purposes."
2.Which kind casala be this?,What kind of trouble is this?
My charger don cast na.,My charger is broken now.
for dat bukka dem food dey sweet pass ani tin,The food at that local restaurant is sweeter than anything.
A beg bring that carton I won pack this television,Please bring that carton; I want to pack this television.
"Mehn, that agberos generator is fake. It no fit carry ordinary small fridge.","Man, that thug's generator is fake. It can't even power a small fridge."
Ike na casanova him be big boy,"He is a casanova, he is a big boy."
"Look at you, you think I am afraid bicos you wear byah byah like tief !!!!","Look at you, thinking I am afraid because you dress shabbily like a thief!"
O bobs that level cast sha...,"He really showed off that time, though..."
O boy you don see that man byah byah,"Oh boy, have you seen that man over there?"
"See the bread dami was giving, telling us he was 10 million naira. For where! as if we don't know he is a bus conductor in Agege","Look at the bread Dami was giving out, claiming it was worth 10 million naira. As if we don't know he's just a bus conductor in Agege."
I dey chop for bukka,I am eating at a local restaurant.
Oh boy see casting.,"Oh boy, look at the embarrassment."
How much you dey sell this jackie chan cd plate,How much are you selling this Jackie Chan CD?
"Oh boy make we play cha cha. means, let's gamble.",Let's gamble.
"This girl just dey spread wrong news, she be busybody",This girl just keeps spreading false news; she's a busybody.
"Dat guy neva come hia today, cha-cha.",That guy has not come here today at all.
"u be carton, u no know anything for dis life.","You are clueless, you don't know anything about this life."
Chai e kill in mama?,"Wow, did he beat his mother?"
"Man, Wale just buy one cha-cha Camry","Man, Wale just bought a brand new Camry."
"Man bunmi was just bros fighting for chike, and she didnt know he slap her sister. She be fool oh.","The man fighting for Chike was just her brother, and she didn't know he slapped her sister. She's such a fool."
Chai! Dem don chop our money oooo...,Wow! They have eaten our money....
kai why you dey behave like bush man?,Why are you behaving like a bush man?
"Brenda's motor no be tokunbo, na cha cha!","Brenda's car is not second-hand, it's brand new!"
2.Abeg no cast me in front of Ify no go yarn her Please.,"Please, don't expose me in front of Ify, don't tell her."
"Oh boy if you like that shoe make you carry go, I no need am again. Means, you can have that shoe if you like it, I don't wear it anymore.","You can have that shoe if you like it, I don't wear it anymore."
I don die ooo chaii!!!,"I'm dead, wow!!!"
you see cossy bobie yesterday?that girl baff no cover her bobie wella,Did you see Cossy's breasts yesterday? That girl dressed up without covering her breasts properly.
Chris dat man house chasis oh,Chris really wrecked that man's house.
You dey use me catch trips abi?,"Are you using me to catch fun, right?"
Chineke god o !,Oh my God!
"Guy, you be char","Guy, you are amazing."
make I chao dis chao,Let me eat this food.
"Chey, I wish sey I fit chop suya now.","Man, I wish I could eat suya now."
Chei! You dey eat o,Wow! You are eating a lot.
"Chairman, are you in London yet?","Chairman, have you arrived in London yet?"
Omo guy see this chickala,"Guy, check out this girl."
My guy I need chiz ooo,"My friend, I need money."
omo that chika fine no be small,Chika is very beautiful.
I dey go chinco land next week,I am going to China next week.
You know anybody we get choco,Do you know anyone who has chocolate?
"who dey pursue you, chillax for dere.",Who is chasing you? Relax there.
See that chickito means look at that pretty young lady,Look at that pretty young lady.
i chook you this nail o,"I stabbed you with this nail, oh."
see this chinco man dey sell pirated cd,Look at this Chinese man selling pirated CDs.
"I was trying to greet Vanessa, but the babe just chinned me!","I was trying to greet Vanessa, but she just ignored me!"
"The problem of the masses was expressed on their faces when they heard about the incumbent interest in the future elections,their faces spoke it they were Buhalectophobic",The masses' problem was evident on their faces when they heard about the incumbent's interest in the future elections; their expressions showed they were afraid of Buhari being re-elected.
"Ma gai, dis awa wok no be chice o!","But I tell you, this our work is not by choice!"
"Jide don spoil finish, now he like to dey chaf",Jide is completely spoiled now; he likes to smoke.
you be the exact carbon copy of your mama means you are the exact replica of your mum,You are the exact replica of your mum.
Please arrange yourself to the back of the queue and stop trying to chance me.,Please arrange yourself to the back of the line and stop trying to take advantage of me.
"'thief,ole, carry and go!'","Thief, steal, take it and leave!"
omo boy chop knuckle means lets fist bump,Let's fist bump.
genre is various.,The genre is various.
that girl chop wowo lick plate,That girl ate until the plate was clean.
Abeg come make we chop hunga dey catch me,"Please come let's eat, I'm getting hungry."
"this airforce people don bluetooth papa o, if you know send money quick, papa go delete o;bluetooth your you love to me, omoge","These airforce people have really dealt with dad, if you don't send money quickly, dad will be in trouble; send your love to me, girl."
"Uncle, there is chance in my book.","Uncle, there is change in my book."
"Chairman, how far with the money nau?? (regular)Abeg Chairman, u sabi the people wey dey live here??  (random)","Chairman, what's the update on the money now?? Please Chairman, do you know the people who live here??"
make una clear road for our oga,Clear the road for our boss.
shey you know say tolani chop beans for her exam,Do you know that Tolani ate beans for her exam?
Obi dey chyke me,Obi is toasting me.
"I saw chinedu for him new beamer, the guy don chop up.",I saw Chinedu in his new Beamer; the guy has really made it.
that girl don chop cockroach,That girl has eaten a cockroach.
"b-thugs, you dey go caff? abeg, bring me maltex and puff puff when you dey come back.","B-thugs, are you going to the cafe? Please, bring me Maltex and puff puff when you are coming back."
omo you see that chappy for john crib,Did you see that guy at John's place?
Omoge plant chukuli for evri corner becos of the test.,The girl planted cookies in every corner because of the test.
A beg give me chandi make I pay this guy for pure water collect change.,Please give me some money so I can pay this guy for the sachet water and get change.
tayo na coded guy,He is a secretive guy.
Nigerian coatie go tell youbsay bail is free. I pray oh!,Nigerian police will tell you that bail is free.
"Oga, abeg,make we colabo for this work","Boss, please, let's collaborate on this work."
Come chop with me means come dine or eat with me,Come dine or eat with me.
"1.Oh boy, coatie just stop me and my guy for junction unto window tint matter.","Oh boy, the police just stopped me and my friend at the junction over window tint issues."
Abeg comot dat tin jo,Please remove that thing.
"Goonz, make we baff up and then jam that club.","Guys, let's dress up and then hit that club."
me and chuky dey chilax for papa goose bar.. Or oboy chilax ur admission go click,"Chuky and I are relaxing at Papa Goose Bar. Oh boy, relax, your admission will be successful."
so we go party and we no chow anything,So we went to the party and we didn't eat anything.
Plenti chuku-chuku dey this field oh,There are plenty of thorns in this field.
"Your driver Friday dey use una car for cabu cabu - when im drop of una pikin for school, on the way back, im go dey pick up passenjas.","Your driver, Friday, uses your car for taxi services - when he drops off your children at school, on the way back, he picks up passengers."
Those two dey codedly dey knack for boys-quarters.,Those two are secretly having sex in the boys' quarters.
Hey!!! Come on commot for here,"Hey!!! Come on, get out of here."
"No mind dem, na chukuli ni dey use take pass.","Don't mind them, they only passed by cheating."
na to get soft mind for poor people,to have compassion for the poor
Anumanu like you! Anumanu looking heifer!,Animal like you! Animal looking heifer!
A.(talking to a bread seller who sold a spoilt bread to you) Madam abeg change am  B. I no wan fall before but your okada don change for me now .,"A. Madam, please change it. B. I didn't want to fall before, but your motorcycle has changed my mind now."
"You never chi chon chi, if you chi chon chi you go yon","If you eat, you will know."
Abeg make we Collabo do this business,Please let's collaborate on this business.
this guy would die of conji,This guy would die of sexual frustration.
"GUY, HOW FAR YOUR CONSCIENCE NA.","Guy, how is your conscience?"
"why you wear this kind cloth come party, you don burn your rep be that","Why did you wear this kind of clothes to the party, you have ruined your reputation by doing that."
I score a very high mark in the exam with the help of chukuli.,I scored a very high mark in the exam with the help of cramming.
Deya coni coni tu mosh fo diye,They are acting too cunning for the deal.
bros you no go comot for there before dem ring bottle for your head?,"Bro, won't you leave there before they break a bottle on your head?"
I don confam that deposit for my account,I have confirmed that deposit in my account.
Sam na coconut head ein  don write JAMB seven times e no fit pass.,"Sam, being stubborn, has taken the JAMB exam seven times and still hasn't passed."
Joe don buy chasis car means joe has bought a brand new car,Joe has bought a brand new car.
"Because you no won make i follow you go,you con they code me.","Because you didn't want me to go with you, you started acting secretive towards me."
No do me coni abeg.,Please don't deceive me.
me and uche just dey chark beer since morning,Me and Uche have just been drinking beer since morning.
Why you just dey copy copy,Why are you just copying?
John abeg cool down.,"John, please calm down."
dat boy na confra means that boy belongs to a fraternity in the campus,That boy belongs to a fraternity on campus.
"Adaeze abeg chop belle full, no be everyday person dey get free food","Adaeze please eat to your satisfaction, it's not every day one gets free food."
"omo u chuk that lekpa so tey, she gain wieght by force.",You've been feeding that slim girl so much that she gained weight by force.
I go go church on Saturday because I listen to the Torah.,I will go to church on Saturday because I listen to the Torah.
Lovina don colo! The girl talk say she wan start to dey sell akamu and akara as soon as monday nack.,Lovina has gone crazy! The girl said she wants to start selling pap and bean cakes as soon as Monday comes.
"o boi comot for road, presido dey pass","Boy, get off the road, the president is passing by."
i want buy cortex means i want to buy nail polish,I want to buy nail polish.
to give person hand,to help someone
You day craz?.,Are you crazy?
See that copper na my colleague him be,That copper is my colleague.
"If you see as Paul-Harmony just color b that guy eh, you go fear nah.","If you see how Paul-Harmony just embarrassed that guy, you would be scared."
You get craw-craw for body,You have rashes on your body.
"Na chop i chop we dey for naija means in Nigeria if you steal then i have to do the same. Like this, no one tells on the other. This is common with people working at government offices.","In Nigeria, if you steal, then I have to do the same. Like this, no one tells on the other. This is common with people working at government offices."
Kunle don come back OK is you see am mehn he don chop burger,"Kunle has come back, have you seen him? Man, he has eaten a burger."
"no mind am, na crase dey worry am....","Don't mind him, he's just crazy."
Dis person na Control P,This person is a control freak.
"Gimme the phone, make i control bola for phone","Give me the phone, let me play soccer on the phone."
I will punish you so that you can start behaving properly,I will punish you so that you can start behaving properly.
I go couple you na make your brain for reset well.,I will deal with you so that your senses will be properly adjusted.
"bros e be like sey u don dey crase ni!!,","Bro, it seems like you're going crazy, huh?"
"my brother, na corner-corner i use get that job","My brother, I got that job through dubious means."
Them don send david go crench for rape.,They have sent David to jail for rape.
craze people no dey tire to waka,Crazy people never get tired of walking.
"Oga, make you coolu temper. I go hurry bring your egusi now now.","Boss, please calm down. I will quickly bring your egusi soup right away."
Dis girl just dey dabaru my soup,This girl is just ruining my soup.
When Bisi started abusing my mother I had to counter blast,"When Bisi started insulting my mother, I had to retaliate."
Clement come visit me yesterday. His BMW correct.,Clement came to visit me yesterday. His BMW is nice.
Jide fada get money. Their compound big well well,Jide's father is wealthy. Their compound is very big.
Them cut out before the police man show.,They left before the policeman arrived.
E be like say you day craz?.,It seems like you are crazy?
"I wan go crash, i don tire","I want to go sleep, I'm tired."
"Charlie, you no se ah no be fool o.","Charlie, you know I'm not a fool."
"If I cover slap you, you no go see road.","If I slap you, you won't be able to see."
"Oboi,u don cram 4 2moro?","Guy, have you crammed for tomorrow?"
dem born me with dada,I was born with dreadlocks.
I de nurse for hospital.,I am a nurse at the hospital.
"mama binta, i go take coke with my rice o, abeg make you bring am when you go kitchen again.","Mama Binta, I will have Coke with my rice, please bring it when you go to the kitchen again."
Eshy conk am na him start to cry,He hit him on the head and he started crying.
I cruz my papa car today,I drove my dad's car today.
Boys go draw danga for area.,Boys will cause trouble in the area.
that una baby na cry-cry. I just commot from dommot because i for slap am.,That baby cries a lot. I just left the place because I would have slapped him/her.
Dat boy na buisnessman,That boy is a businessman.
I like to collect the different counta from different soft drinks,I like to collect the different bottle caps from different soft drinks.
This guy na dembele o,This guy is unreliable.
This guy just con dagbaru the whole place with ehn mess. Nawa o!!,This guy just completely messed up the whole place with his mess.
I dey,I am here.
That bus conductor don craise,That bus conductor has gone crazy.
If you marry danfo driver I no care,"If you marry a bus driver, I don't care."
Dis guy dey disturb me,This guy is disturbing me.
"Oya, oboy, de go de go","Hurry up, boy, keep going, keep going."
"dat one na grammar, you no fit fix the gen",That's just grammar; you can't fix the generator.
Na cycomolocuting dem just de do for de meeting,They were just engaging in circumlocution at the meeting.
i love you die!,I love you so much!
Ross disarm my phone,"Ross, unlock my phone."
dem say dem say which one we go believe,"They said, they said, which one should we believe?"
Dem go dey denge denge dem go dey pose.,They will be strutting and posing.
Abi you won report? just dey go.,Are you going to report? Just keep going.
Where una dey go?,Where are you going?
dat boy waec result na dagbo.Ateke don get dagbo visa to yankee.,That boy's WAEC result is fake. Ateke has gotten a fake visa to America.
Eminem na tyt music creaminal,Eminem is a top music criminal.
Omor see that cowbell oh,Look at that cowbell.
Afoke dey dress like cream boy o! See the kind jacket bobo dey rock.,Afoke is dressing like a stylish guy! Look at the kind of jacket the guy is rocking.
abeg ma friend tell am call me da sauri,Please my friend tell him to call me quickly.
Dia shirt is blue,Their shirt is blue.
Why Jenny dey cut neck for this guy.,Why is Jenny going out of her way for this guy?
Oya die am e don do,"Hurry up and stop it, it's enough."
I just dey tell dem say wahala go bust if person mess.,I'm just telling them that there will be trouble if someone messes up.
"guy about the matter of the money,just die it.......die it can also be said in various forms like die the shit etc","Forget about the issue with the money, just let it go."
"As I cut baba, ano say I go score","When I passed the man, I knew I would score."
no put crafish for the soup,Don't put crayfish in the soup.
"abeg do quick, i wan comot foi here","Please hurry up, I want to leave here."
Efe doke crase commot from kate head.,Efe knocked the craziness out of Kate's head.
"Cunnyman die, cunnyman bury am.","When a trickster dies, another trickster buries him."
"that thing no dey pain, you just dey dive","That thing does not hurt, you're just overreacting."
I don go since.,I have gone since.
I hit deez nuts while playing dem futbals.,I hit these nuts while playing those footballs.
Her wishes was to see me deep my dick into her puna,Her wishes were to see me penetrate her with my penis.
Omo i dorti last nite sotay i no fit waka,I was so drunk last night that I couldn't walk.
see how e dey chop chingum like cow...,Look at how he's chewing gum like a cow...
"I cut cap for Paul-Harmony swag, the guy dress sharp",I admire Paul-Harmony's style; the guy dresses sharply.
Chiamaka dust uzo for dat race oh.,Chiamaka won the race easily.
That’s why my heart dey beat like duduke,That's why my heart beats like duduke.
"Ayama, who mess for here",Who farted here?
"See as Chinwe mess for class, she come drive Janet comot","Look at how Chinwe farted in class, then she made Janet leave."
