Input_pid,Output_eng
"ah -ahn, why did you do that!","h-ahn, why did you do that!"
1. Abeg turn on that aircon,Please turn on the air conditioner.
1. Leave me make I chop. Abi na wetin,. Leave me so I can eat. Is that okay?
1. man that akamu look sweet,The man looks handsome.
How many ajuwaya dey that house?,How many youth corpers are in that house?
Kingsley na correct ajepaco guy.,Kingsley is a very handsome guy.
"Amarachi na ajebo, you no see as she chop eba","Amarachi is a novice, didn't you see how she ate eba"
If you go Loyola Jesuit na only ajebutter full that school,"f you go to Loyola Jesuit, only children from wealthy families attend that school."
"Oh boy, no be small thing oh! as AK just show all men bail","Oh boy, it's really something! AK just bailed out all the men."
Chinedu na ajepako boy wey like to dey pose.,Chinedu is a street-smart boy who likes to strike poses.
my akawo account done dry finish.,y Akawo account is completely empty.
o boy abeg use your akanuche o.,"Please, use your brain."
I want chop akara,I want to eat akara.
Akpu smell no good means akpu smells real bad,Akpu smell no good means akpu smells really bad.
"""am talking to you, and you just dey there, standing akimbo!...""","""I am talking to you, and you are just standing there with your hands on your hips!..."""
Are you akpamo,"The sentence ""Are you akpamo"" can be translated to English as ""Are you hungry?"""
The guy babe na akata!That akata babe dey on point mhen!,"he guy's girlfriend is a foreigner! That foreigner girl is on point, man!"
You be the real definition of a mighty man,ou are the true definition of a strong man.
Dat car na Akpruka oh!,That car is a Volkswagen!
Kunle na real Akanchan,"Kunle is a true Akanchan.   (Note: ""Akanchan"" is a term used in some Nigerian communities to describe someone who is cunning or crafty.)"
I don get alert Godwin,"I have received an alert, Godwin."
"my guy alarm don blow, means there is trouble","""My friend, the alarm has gone off, it means there is trouble."""
"Tonye, can you alanta?","Tonye, can you dance the Alanta dance?"
Chinedu na alobam,Chinedu is my friend.
Give me the akpalakpala.,ive me the akpalakpala.
1. Yinka na just Alan pozzer,. Yinka is just an Alan poser.
Andypipi no get sense at all!,Andypipi has no sense at all!
Koko too like do amiboh.,Koko also likes to gossip.
I don tell am to go sleep means i've told him/her to go to bed,"""I have told him/her to go to bed"""
"Omo, NYSC no gree pay us our allawee o!","riend, NYSC is refusing to pay us our allowance!"
make we do and co tomorrow go church means lets wear similar costumes tomorrow to the church,"Make we do and co tomorrow go church"" means ""Let's wear similar outfits to church tomorrow."""
"Today really hot, I dey debate lick Ice-cream or drink Coke... abeg all join","Today is really hot, I am debating whether to lick ice-cream or drink Coke... please help me decide."
1. Chioma na Amebo,Chioma is a gossip.
1. For dat exam you get de ansa?,Do you have the answer for that exam?
"that girl na animashaun i swear, see as she dey sleep around anyhow","hat girl is a promiscuous person, I swear, look at how she sleeps around indiscriminately."
"Portsmouth no sabi play ball, dem dey dey do anywhere belle face.Whi","Portsmouth does not know how to play football, they just play anyhow."
"Guy, i just dey ankle finish and i don tire.","Guy, I just finished playing football and I am tired."
Anumanu like you! Anumanu looking heifer!,People like you! People looking for trouble!
1. Man I dey fear all those area boys for alab market,am afraid of those area boys at Alaba market.
babe this your food sweet sha but u na amodu; abeg no near my kitchen again.(props to Offia Valentine Offia for this definition),"Babe, this food of yours is really delicious, but you are a glutton; please don't come near my kitchen again."" (credit to Offia Valentine Offia for this definition)"
"2. Chinedu! see this area boy, how you dey?","Chinedu! See this local guy, how are you?"
1. Chris na apkroko,Chris is a liar.
"aproko, mind your business.","ossip, mind your business."
area boys dey fight means hooligans are fighting,"""Area boys dey fight"" translates to ""Hooligans are fighting"" in English."
1. I dey go my area,I am going to my neighborhood.
May your road be rough. Anuofia!!!God punish you. Anuofia!!,May your journey be difficult. Anuofia!!! God punish you. Anuofia!!
shey chief na aristo? yes na he be my sugar daddy,"Is the chief a wealthy man? Yes, he is my sugar daddy."
too many girls wey dey 4 dat unilag dey flex aristo,here are too many girls in that Unilag who are dating sugar daddies.
1. Give us gist as e dey hot.,. Give us the latest news while it is still fresh.
John don blow arrow means john has made a grammatical error while speaking. Especially english.,"John has made a grammatical error while speaking, especially in English."
look at this arrow,ook at this arrow Nigerian Pidgin: Abeg look dis arrow
"u be another arro, just like ur friend","You are another troublemaker, just like your friend."
2. Man this one na arrange yua sef,"Man, this one is arranged by yourself."""
1. Oga e be like say you go arrange yua sef,". Sir, it seems like you need to get yourself together."
As in eh! The guy just fail anyhow.,"Just like that! The guy failed miserably."""
Omo this asala sweet o,his fish is really delicious.
"2. We no dey carry last, as e dey hot, we dey drop am..","We do not come last, when it is hot, we drop it."
Make am asap,o it as soon as possible.
Omote na real ashy.she no dey sleep house again.,mote is truly stubborn. She no longer sleeps at home.
You see that Girl...She be Ashewo O!!I always dey see her for Allen Ave.,ou see that girl...She is a prostitute!! I always see her on Allen Avenue.
Amaka and her friends dey wear pink aso ebi for her wedding,Amaka and her friends are wearing pink traditional attire for her wedding.
A: Ol boy that one no fit happen.B: As in wetin now?A: Her shakara too much and me sef I no get time.,": Dude, that cannot happen. B: What do you mean? A: She is too proud and I also don't have time."
1. Amaka na ashawo,Amaka is a prostitute.
Why too like Ashana like dis ?,Why do you like Ashana like this?
Mum: awayu!,Mum: How are you!
Me: morning mummy.,"e: Good morning, mom."
I wan do awoko till i finish this yeye book,I want to work until I finish this useless book.
See this atutupoyoyo wey dey form,ee this pretentious person trying to act important
your trip to togo go be awara awara if u follow cotonou,our trip to Togo will be very slow if you go through Cotonou.
Jide likes awoof beer,Jide likes free beer.
That girl can really azonto,hat girl is really good at dancing the Azonto dance.
I dey go B-Side,I am going to the B-Side.
Ayangba girls are dangerous,"The sentence ""Ayangba girls are dangerous"" translates to English as ""Ayangba girls are dangerous."""
E don scatter? Ayakata!,Has it scattered? Absolutely!
I dey pray to God make him send me awuuff car oh. I really need a car.,I am praying to God to send me a good car. I really need a car.
Shey you no go play baba ijebu today ni?,re you not going to play baba ijebu today?
"Ayama, who mess for here","Ayama, who made a mess here"
1. I dey go see baba,I am going to see the father.
"you don de madt ba means u ar now crazy, isn't it?","The sentence ""you don de madt ba means u ar now crazy, isn't it?"" translates to ""You are now crazy, isn't it?"""
"1. Babe, make we dey go. Tire no dey again.","abe, let's go. There's no more time to waste."
Oh baby azama.make i touch ur azama,"Oh baby, let me touch your body."""
1. You know say Chioma na baboon,ou know that Chioma is a baboon.
Bad belle people go try front.,Jealous people will always try to show off.
"2. Oh boy, that your babe make sense die.","h boy, that girl of yours is really attractive."
Omo you gather backyard means you've got ass,"If you have a big backyard, it means you have a big butt."""
2. Dat guy na baddo.,hat guy is very skilled.
dis boy bad gan. means dis boy is too bad.,This boy is very naughty.
rufus na bad-belle,Rufus is envious.
Odibo maro is a baddo on twitter,Odibo maro is a popular person on Twitter.
My favourite part of the oink is bacun,"My favorite part of the pig is bacon."""
"1. See as everybodi jus dey hail yu, yu bi baddo o.!",". See how everyone is just greeting you, you are a boss.!"
Chisom na Badoski oh,Chisom is at Badoski's place.
Guy! show me my money before I give you back hand,"Hey! Show me my money before I slap you"""
i just want wear my baffs wait i dey come,"I just want to wear my clothes, wait for me, I am coming."
Abeg go baff you dey smell,"Please go take a bath, you are smelling."
Yoruba girls no get bakasi means yoruba girls have little or no ass,"The sentence ""Yoruba girls no get bakasi"" translates to ""Yoruba girls have little or no ass"" in English."
take banga at food is ready,The food is ready.
carry dat baggish commot for here,"Take that bag and leave from here."""
Omoge ur baka wan make enta trouble,he girl is looking for trouble.
Guy i broke i need bah,"Guy, I am broke and I need help."""
"Goonz, make we baff up and then jam that club.","riends, let's freshen up and then go to that club."
I bala dat chick last week.,I saw that girl last week.
see that that babe bakassi.,ook at that beautiful girl's backside.
dat cloth is bam,hat cloth is nice.
I chop rice with banga soup this morning,ate rice with banga soup this morning.
bangers world is signing new artists,"""Bangers World is signing new artists."""
Every sunday when I go church I dey see Junior dey throw banga,"Every Sunday when I go to church, I see Junior throwing firecrackers."
Bola don bang Bisi means Bola has had sex with Bisi,"The translation of ""Bola don bang Bisi"" to English is ""Bola has had sex with Bisi."""
Oboy i dey trip for dat banny.,I am really impressed by that girl.
When the banta go start make una no run o.,"hen the conversation starts, please do not run."
"1. ""Shege banza, waka jam you""","You fool, go away from here"""
1.This man face baraje oh,. This man's face is very angry.
Gbas gbos your padi club with club with Coca-Cola,"Gbas gbos your friend hit the club with Coca-Cola."""
dem dey blow banger for road means fire crackers are going off on the street,"Onye na-akpọ bụ onye nwere ike"" means ""The one who goes is the one who is capable."""
"where ur bani dey na, make she come toast chow.","Where is your money, so she can come and buy food."
Ah Ah!  Neighbors see barawo jus here na!,"Oh my! Neighbors, look at the thief right here!"
see that fine barny,"See that handsome guy."""
Leave that wan. Na proper basket-mouth be that.,Leave that one. That person talks too much.
i can't find my bathroom slippers,can't find my bathroom slippers.
i dey go barbing salon,I am going to the barbing salon.
i dey go barb my hair,I am going to have my hair cut.
jide na bebescout,Jide is a baby scout.
Chinedu dey operate like Bebeto,Chinedu operates like Bebeto.
"That our neighbor wife leave him, because his bazuka is not working.",ur neighbor's wife left him because his manhood is not functioning.
Dat woman wey dey form nai get dat batcher for there.,That woman who is pretending has that attitude over there.
"this night na bash all through.before you know, i don bash em car","onight was a party all through. Before you know it, I crashed his car."
Awon homeboiz just dey baz like there's no tommorow.,The boys are just having fun like there's no tomorrow.
"The motor don spoil and rain dey fall, so based on logistics, we go just siddon for house today.","he car is damaged and it is raining, so based on logistics, we will just stay at home today."
See as your beer-beer dey like goat own.,ook at how your beer is as frothy as that of a goat.
1. That woman get serious belle,. That woman is pregnant.
money don dey.,The money is available.
I no get belle to fit laugh,I am not pregnant enough to laugh.
"""For this party, drinks bin dey berekete""","""For this party, drinks were in abundance."""
1. O boy dat man get big belle,. That man has a big belly.
"beg beg, you even beg pass beggars means one who begs more than the poor beggars does.","beg beg, you even beg pass beggars means one who begs more than the poor beggars does."""
"Aunty Binta, e be like say I go soon sleep o, because I don belle full.","Aunty Binta, it seems like I will soon go to sleep because my stomach is full."
"I for like buy new shoes, but my berry never black.","I would have liked to buy new shoes, but my money is not enough."
where you get that blouse? no be bend down select?,here did you get that blouse? Was it not selected from a street vendor's display?
"I no get money to buy new clothes, na only bend down wey I fit afford","I do not have money to buy new clothes, so I can only afford second-hand clothes."
jennifer make we go buy jeans for bend down boutique means jenniffer lets go shop for some jeans from the fairly used clothes place.,"Nna, biko hapu m aka"" means ""My brother, please give me a hand."""
"you carry my car go lagos island, bicos why?","You took my car to Lagos Island, why?"
"u na beta pikin we dey go church, no be like your family pipu.","You are a good child who goes to church, unlike your family members."
I know you mama bifor-bifor,I knew your mother a long time ago.
Joe don become big man overnight ohh means joe has gotten rich overnight,Joe has become a wealthy man overnight.
Betta don come. things don betta.,etter days have arrived. Things have gotten better.
The guy bia bia don white finish.,The guy has completely turned white.
"bifor nko, wetin u think say u go get.","Before now, what did you think you would achieve?"
"it will be berra if you do more publicity for this lovely creation, called naija lingo.","t will be better if you do more publicity for this lovely creation, called Naija Lingo."
you get big eye simply means you are greedy,"The sentence ""you get big eye simply means you are greedy"" translates to ""Having big eyes simply means you are greedy"" in English."
She don turn big after school,She has grown big after school.
biko give me that pencil means please pass me that pencil,"Abeg give me that pencil"" means ""Please pass me that pencil."""
"Oga abeg you get biro, make I carry write something?","Boss, please do you have a pen I can use to write something?"
Drogba fire Okocha shot for blocos.,Drogba fired a shot for blocos just like Okocha.
"I go Amaka house last Friday, she get one big bingo like this","went to Amaka's house last Friday, she has a big dog like this."
1. Oya give Jide dat blom blom,. Oya give Jide that thing.
Sade na confirm bizzybody.. see how she dey yan that her dirty mouth,Sade is a confirmed busybody.. see how she keeps talking with her dirty mouth.
Chinedu just blast scatter the ball into Yinka's post,Chinedu just kicked the ball forcefully into Yinka's goal.
O boi I dey hunger seriously. Abeg give me five Naira make I go buy biscuit,"h boy, I am very hungry. Please give me five Naira so I can buy biscuits."
see blom blow for up means look at a balloon in the sky,"""See blom blow for up"" means ""Look at a balloon in the sky"" in English."
Wetin bi dis? Di oyibo blow Nija pidgin!,What is this? The foreigner speaks Nigerian Pidgin!
"Choi, see Bobbie!!!","Wow, look at Bobbie!!!"
Ahhh you don no get blokkus? means ahh don't you have a scrotum?,"The sentence ""Ahhh you don no get blokkus?"" translates to ""Ahh, don't you have testicles?"" in English."
dat girl get nice bobby. means dat girl has nice breast,That girl has nice breasts.
"this airforce people don bluetooth papa o, if you know send money quick, papa go delete o;bluetooth your you love to me, omoge","hese Airforce personnel have deceived my father, if you don't send money quickly, my father will be in trouble; send your love to me, my dear."
the guy don blow,he guy has become successful.
you see cossy bobie yesterday?that girl baff no cover her bobie wella,Did you see Cossy's breasts yesterday? That girl bathed without covering her breasts properly.
"Cannabis, also known as Marijuana among other names, is a psychoactive drug from the Cannabis plant used primarily for medical or recreational purposes","annabis, also known as Marijuana among other names, is a psychoactive drug from the Cannabis plant used primarily"
"Bobs, how you dey?, Bobs, no be small thing.","obs, how are you?, Bobs, it's not a small thing."
Abegi! Go boil beans,Please! Go boil beans
The match between Brock Lesnar and Seth Rollins was a bloodly one.,he match between Brock Lesnar and Seth Rollins was intense. Nigerian Pidgin: The fight wey happun between Brock Lesnar and Seth Rollins bin get plenti blood. English: The fight that happened between Brock Lesnar and Seth Rollins was bloody.
"Y a u bobing,  (hia mins why are you moving up and down)","a u bobing, (hia mins why are you moving up and down) English: Why are you moving up and down?"
1. Chey! cinthia look dat bobo,". Chey! cinthia look dat bobo English: Wow! Cynthia, look at that guy."
food boku for that party wey i go last night,There was plenty of food at the party I attended last night.
"Bobo no get sense, na why im dey cross road anyhow.","obo lacks common sense, that's why he crosses the road carelessly."
Oh boi! dis bobozee make sense troway! means Boy! this cassava chips is delicious!,h boi! dis bobozee make sense troway! means Boy! this cassava chips is delicious!
How u dey peter? man body dey inside clothe means how are you peter? i'm surviving,"How are you, Peter? ""Man body dey inside clothe"" means I'm surviving."
Make we go play boju boju means lets go play hide and seek game.,Let's go play hide and seek game.
1.You don go see mama Bon boy?,Have you gone to see Mama Bon's son?
That guy in bones.,The guy is very skinny.
e don tey since i chop boli,It has been a long time since I ate roasted plantain.
mama peter don born bom boi means peter's mom has given birth to a baby boy,"Mama Peter don born bom boi"" means ""Peter's mom has given birth to a baby boy."""
Dat guy bololo dey shine sha!,That guy's outfit is really shining!
omo he be bolo,"The child is behaving foolishly."""
"If you wan bone well, you need to wear bones.","If you want to look good, you need to wear corsets."
My wife don born bomboy.Jide is 33 but he behaves like a bomboy,"y wife has given birth to a baby boy. Jide is 33 but he behaves like a young, immature person."
1. Mummy! meet my boo?,other! Meet my boyfriend/girlfriend?
I just dey come from bongo.,I just came from the bar.
"omo, borrow leg o, wahala dey come ur side.","My friend, be prepared, trouble is coming your way."""
Chidi dey use chinedu car borrow pose,Chidi is using Chinedu's car to strike a pose.
2. ma boo dey fine pass una own.,My partner looks better than yours.
I like your bones.,"The sentence ""I like your bones"" can be translated to English as ""Achoro m ihe ndi a."" in Igbo language."
Me take book from book haus,I took the book from the book house.
dis medicine na for my born boy,This medicine is for my son.
"the food borku, come chop","he food is plenty, come and eat."
"that girl na real botty, she no sabi wash plate","hat girl has a big buttocks, she doesn't know how to wash plates."
your father na booze man means your dad is a drunkard,"""Your father na booze man"" means ""Your dad is a drunkard"" in English."
i dey bow na u ooooo,I am bowing to you.
bosun give nathan his pencil pouch back!bosun stop stabbing nathan!,"Bosun, give Nathan his pencil pouch back! Bosun, stop stabbing Nathan!"
You don see the Boss for this film? The man big o,Have you seen the Boss in this movie? The man is big.
"Thank God, I no get Bow Leg","hank God, I do not have bow legs."
Me and Amarachi go one restaurant you for see this boy yoyo wey we see.,Amarachi and I went to a restaurant where we saw the boy playing with a yoyo.
me i no dey braga or you to dey braga,"I do not brag, do you brag?"
1. Dat brokoto sweet oh,. That bread is delicious
Miss Amara have brekete apples from orchard.,Miss Amara has picked apples from the orchard.
1. Chisom na my broda,Chisom is my brother.
"See the bread dami was giving, telling us he was 10 million naira. For where! as if we don't know he is a bus conductor in Agege","ee the bread that Dami was flaunting, claiming it was worth 10 million naira. As if! As if we don't know he is a bus conductor in Agege."
"Bros how far?, See those brosses","rother, how are you? Look at those guys."
"1. Man bunmi was just bros fighting for chike, and she didnt know he slap her sister. She be fool oh.","an Bunmi was just trying to defend Chike, and she didn't know he slapped her sister. She is so naive."
make some tell that man say e brokkus dey show.,Tell that man that his secret is being revealed.
1. You dey speak brokun?,Are you speaking broken English?
Na so so broda-broda dem dey do for our universities these days means the educational system is corrupt and only those that has connections or those with friends and relation working in higher institution get admitted to study,"It is only brothers and relatives that are being favored in our universities these days, indicating that the educational system is corrupt and only those with connections or family members working in higher institutions are admitted to study."""
Shey you be brikito. Means r u British. Why you dey yan brikito. Means why r u speaking english,"""Shey you be brikito"" translates to ""Are you British"" in English. ""Why you dey yan brikito"" translates to ""Why are you speaking English"" in English."
1. Dipo is always bros laffing,. Dipo is always laughing.
When will you go stop to dey buga,When will you stop making noise?
why you like to dey go that bukateria?,Why do you like to always go to that bukateria?
i wan go that buka to chop,I want to go to that food stall to eat.
"Brotherly, How are you doing today?","The English translation of the Igbo sentence ""Nwanne, Kedu ka i mere taa?"" is ""Brother, How are you doing today?"""
1. I wan go buy bulala,. I want to go buy a machete.
for dat bukka dem food dey sweet pass ani tin,he food at that local restaurant tastes better than anything else.
1. I dey chop for bukka,I am eating at a local food joint.
Na who dey fire bullet like this? means who's speaking with lots of grammatical errors?,Who is shooting bullets like this?
1. kai why you dey behave like bush man?,. Why are you behaving like a bush man?
"why you wear this kind cloth come party, you don burn your rep be that","hy did you wear this kind of clothing to the party, you have tarnished your reputation."
"The problem of the masses was expressed on their faces when they heard about the incumbent interest in the future elections,their faces spoke it they were Buhalectophobic","The problem of the masses was evident on their faces when they heard about the incumbent's interest in the future elections; their faces revealed it, they were afraid of Buhari."
1. Dat buredi dey sweet oh,That bread is delicious.
why you dey follow that bushmo,Why are you following that bushman?
I cannur say one word,I cannot say a single word.
let me take my kip,et me take a nap.
"1. This girl just dey spread wrong news, she be busybody","his girl is just spreading false news, she is a busybody."
1. O boy you don see that man byah byah,"ey boy, have you seen that man over there?"
"Look at you, you think I am afraid bicos you wear byah byah like tief !!!!","Look at you, you think I am afraid because you wear flashy clothes like a thief !!!!"
"Your driver Friday dey use una car for cabu cabu - when im drop of una pikin for school, on the way back, im go dey pick up passenjas.","our driver, Friday, is using your car for unauthorized commercial transportation - after dropping off your child at school, he picks up passengers on the way back."
Yusuf dey cak that his blue shirt for my party,Yusuf is ironing his blue shirt for my party.
"Mehn, that agberos generator is fake. It no fit carry ordinary small fridge.","Wow, that agbero's generator is fake. It can't even power a small fridge."""
"b-thugs, you dey go caff? abeg, bring me maltex and puff puff when you dey come back.","Hey, are you going to the café? Please, bring me Maltex and puff puff when you are coming back."""
"u be carton, u no know anything for dis life.","You are clueless, you don't know anything in this life."
2.Which kind casala be this?,What kind of trouble is this?
"'thief,ole, carry and go!'","Thief, steal and run away!'"
you be the exact carbon copy of your mama means you are the exact replica of your mum,"Nna, biko hapum aka gi"" means ""My brother, please give me your hand"""
A beg bring that carton I won pack this television,Please bring that carton so I can pack this television.
"Oh boy if you like that shoe make you carry go, I no need am again. Means, you can have that shoe if you like it, I don't wear it anymore.","Oh boy if you like that shoe make you carry go, I no need am again."" means ""You can have that shoe if you like it, I don't need it anymore."""
1. Men! Casala dey oh,. Men! There is trouble oh
O bobs that level cast sha...,e really showed off at that level.
Ike na casanova him be big boy,"Ike is a casanova, he is a big boy."
1. Oh boy see casting.,"h boy, look at the fishing."
1. How much you dey sell this jackie chan cd plate,How much are you selling this Jackie Chan CD for?
My charger don cast na.,y charger is no longer working.
2.Abeg no cast me in front of Ify no go yarn her Please.,"Please do not embarrass me in front of Ify, do not tell her anything."
You dey use me catch trips abi?,Are you using me to catch trips?
"Brenda's motor no be tokunbo, na cha cha!","Brenda's car is not a tokunbo (foreign used car), it is brand new!"
"Man, Wale just buy one cha-cha Camry","Man, Wale just bought a brand new Camry."
Chai e kill in mama?,id he kill his mother?
"Jide don spoil finish, now he like to dey chaf","Jide is completely spoiled now, he likes to misbehave."
"Oh boy make we play cha cha. means, let's gamble.","The sentence ""Oh boy make we play cha cha"" translates to ""Oh boy, let's gamble"" in English."
"1. Dat guy neva come hia today, cha-cha.","hat guy did not come here today, quickly."
I don die ooo chaii!!!,"I am dead, oh my goodness!!!"
"Chairman, are you in London yet?","na anyi, e nweghị ike ina London bụla? English: Chairman, are you in London yet?"
"Chairman, how far with the money nau?? (regular)Abeg Chairman, u sabi the people wey dey live here??  (random)","Chairman, how far with the money now?? (regular) Please Chairman, do you know the people who live here?? (random)"
me and uche just dey chark beer since morning,che and I have been drinking beer since morning.
"Guy, you be char","uy, you are charming."
Please arrange yourself to the back of the queue and stop trying to chance me.,iko hapu aka gi wụrụ n'akụkọ maka ịgba ọnụ na-akpọ m.
"Charlie, you no se ah no be fool o.","Charlie, you know that I am not a fool."
A beg give me chandi make I pay this guy for pure water collect change.,Please give me change so I can pay this person for the sachet of water and collect my change.
"Uncle, there is chance in my book.","ncle, there is money in my book."
make I chao dis chao,et me eat this food
omo you see that chappy for john crib,"Child, did you see that guy at John's place?"""
Chei! You dey eat o,ow! You are eating.
Chris dat man house chasis oh,"Chris, that man's house is very dilapidated."""
Chai! Dem don chop our money oooo...,h no! They have eaten our money...
Omo guy see this chickala,"My friend, look at this beautiful girl."""
See that chickito means look at that pretty young lady,"""See that chickito"" means ""look at that pretty young lady"""
Joe don buy chasis car means joe has bought a brand new car,Joe has bought a brand new car.
A.(talking to a bread seller who sold a spoilt bread to you) Madam abeg change am  B. I no wan fall before but your okada don change for me now .,"A. (talking to a bread seller who sold a spoilt bread to you) Madam, please change it. B. I didn't want to fall before, but your motorcycle has changed for me now."
omo that chika fine no be small,hat Chika is very beautiful.
"who dey pursue you, chillax for dere.","Who is chasing you, relax over there."
"1. Chey, I wish sey I fit chop suya now.","hei, I wish I could eat suya now."
"Ma gai, dis awa wok no be chice o!","My friend, this work is not easy at all!"""
"You never chi chon chi, if you chi chon chi you go yon","You never know until you try, if you try you will succeed."""
me and chuky dey chilax for papa goose bar.. Or oboy chilax ur admission go click,"huky and I are relaxing at Papa Goose bar. Make sure you relax, your admission will come through."
I dey go chinco land next week,I am going to China next week.
see this chinco man dey sell pirated cd,This Chinese man is selling pirated CDs.
see how e dey chop chingum like cow...,ee how he is chewing gum like a cow...
Abeg come make we chop hunga dey catch me,"Please come so we can eat, I am hungry."
Chineke god o !,God help us!
"1. I was trying to greet Vanessa, but the babe just chinned me!","was trying to greet Vanessa, but the girl just ignored me!"
that girl don chop cockroach,The girl has eaten a cockroach.
You know anybody we get choco,Do you know anyone who has chocolate?
"Adaeze abeg chop belle full, no be everyday person dey get free food","Adaeze, please eat to your fill, free food is not available every day."
i chook you this nail o,I pierced you with this nail.
shey you know say tolani chop beans for her exam,Do you know that Tolani cheated in her exam?
My guy I need chiz ooo,"y friend, I need cheese."
omo boy chop knuckle means lets fist bump,"""Omo boy chop knuckle"" means ""let's fist bump."""
Kunle don come back OK is you see am mehn he don chop burger,"Kunle has returned, okay. Did you see him? He has eaten a burger."
so we go party and we no chow anything,e went to the party but we didn't eat anything.
1. Plenti chuku-chuku dey this field oh,There are plenty of thorns in this field.
"No mind dem, na chukuli ni dey use take pass.","Don't mind them, they are just jealous of me."
"omo u chuk that lekpa so tey, she gain wieght by force.","he girl has been eating a lot lately, she has gained weight by force."
"Na chop i chop we dey for naija means in Nigeria if you steal then i have to do the same. Like this, no one tells on the other. This is common with people working at government offices.","The phrase ""Na chop i chop"" in Nigeria means that if you steal, then I have to do the same. It implies a mutual agreement not to report each other's wrongdoings, especially common among people working in government offices."
"I saw chinedu for him new beamer, the guy don chop up.","I saw Chinedu in his new BMW, the guy is living large."
that girl chop wowo lick plate,"That girl ate dirty food from a plate."""
make una clear road for our oga,Please clear the way for our boss.
Omoge plant chukuli for evri corner becos of the test.,The girl planted flowers in every corner because of the taste.
genre is various.,The genre is diverse.
"1.Oh boy, coatie just stop me and my guy for junction unto window tint matter.","h boy, the police just stopped me and my friend at the junction because of the window tint issue."
tayo na coded guy,"Let's go, the guy is secretive."
I go go church on Saturday because I listen to the Torah.,I will go to church on Saturday because I listen to the Torah.
I score a very high mark in the exam with the help of chukuli.,I scored a very high mark in the exam with the help of Chukuli.
Obi dey chyke me,Obi is flirting with me.
"Because you no won make i follow you go,you con they code me.","ecause you didn't want me to follow you, you started avoiding me."
Sam na coconut head ein  don write JAMB seven times e no fit pass.,"Sam, with his stubborn nature, has written the Joint Admissions and Matriculation Board (JAMB) examination seven times but has been unable to pass."
Those two dey codedly dey knack for boys-quarters.,Those two are secretly having sex in the boys-quarters.
"Oga, abeg,make we colabo for this work","Boss, please, let's collaborate on this work."
