Input_igbo,Output_eng
"Kama, amamiihe akaasato malitere site n'usoro nke evolushọn dị iche, dị iche na nke mmadụ, Ya mere ntọala ya ji dị iche","Although the theory of evolution is widely accepted in both science and society, it still faces some challenges."""
Enwere m ike ịkọwa ọdịiche dị n'etiti nka akụkọ sayensị amaara ama na Afrofuturism ma ọ bụrụ na m jiri ihe gbasara akaasatọ tụnyere okwu,"I have the ability to discuss various topics related to science fiction, fantasy, and Afrofuturism because I have experience in writing articles on the subject."
Echiche nke a bụ ịhapụ ma na-eweta wee bịa ghọọ ndị ọzọ bụ otu n'ime obi Afrofuturism ma ọ bụ ị nwere ike ịkpọ ya ụdị akụkọ sayensi dị iche,"The meaning of this sentence is that this event is not only an opportunity to bring together other people, but also a chance to explore the depths of Afrofuturism and how it can influence scientific advancements."
"Dị ka mmadụ, akaasatọ bụ ụfọdụ n'ime ọtụtụ anụ ndị nwere oke amamiihe n'ụwa","Like a person, communication is the key in all relationships with significant others in the world."
"Binti bụ ọkachamara mgbakọ na mwepụ nke agbụrụ Himba Anabatala ya n'ime mahadum dị n'ụwa ọzọ, o kpebiela na ya ga-aga","The girl is a talented singer and hopes to represent Himba Ancestral Heritage in the global stage, she believes she will succeed."
O bu ọbara ndi agbụrụ ya n'akwara nke ya,"It is the responsibility of a person to take care of their belongings."""
E nwetụla m obere chiọma,"It means ""I have seen Chioma's beauty"" in English."
"Oge n'onweghi ịhe megharịrị, A kwara m nnukwu igbe abụọ nọ n'elụ ogbe ike aka","hen there is nothing to do, I usually take a long walk around the neighborhood."
"Ka akụkọ na-aga n'ihu, ọ ghọghị onye ọzọ, kama tinyekwuo n'elu nke ọ bụ.","When the conversation is getting interesting, do not interrupt someone else, just listen attentively."
"Ya mere, n'otu akụkụ dị anya n'ọdịnihu nke Africa,","e said, in a gathering of African leaders,"
"Ha megharịrị ọfụma, m wee kutuo ume","When I wake up early, I will sweep the compound."
na-azọsi ụkwụ m ike,"The sentence ""na-azọsi ụkwụ m ike"" translates to ""I can lift the stone"" in English."
"""Gaba,"" e jiri m nwayọ takwunyere ụgbọ njem","""Gaba,"" he asked me to bring him a bowl of soup."
"ola mgbanụkwụ m yi na nkwonkwo ụkwụ m abụọ yọgharịrị, mana a zọsiri m ụkwụ m ike ọzọ","I had a dream last night that my tooth fell out, but I will consult another dentist."""
"ụmụnne m niile dị iteghete, bụ ndi tọchara m ma ewepụ nke nwanyi na nke nwoke ndi nke obere agaghị ama ihe na-achọ ịme","All my siblings are stubborn, they always argue about whether men or women are superior and it never ends well."
Aga m abụ onye a kpọrọ asị,I am the person who called you
Nne m na Nna m enweghị ka ha ga-esi chepụta na aga m emenwu udi ihe a n'ụwa a,My mother and father do not have to worry that my journey in life will be difficult.
"Mgbe m na-anọghị, nne m na nna m ga na-atagbu onwe ha.","When I am not around, my mother and father will take care of themselves."
"Ụgbọ nje m mara jijiji n'aja m wee jide ume m Ọ pere mpe, basaa, na eji oji ka nkume ekpere, ọ zụrụ obere ụzụ wee jiri nwayọ bilie n'aja Ọ mechara, wepụta ike nke buliri ya A chịrị m ọchị","The dog I saw running in front of me suddenly stopped and started barking loudly, then turned around as if to chase after something, its tail wagging vigorously. I was scared and quickly ran away from it."
Oge ha ga-eji mara ịhe m mere na ebe m na-aga A ga m ahapugo ụwa,"This time, I will do what I have always wanted to do when I travel. I will explore the world."
na m agaghị atụ ụkwụ n'ụlọ ha ọzọ,I do not understand their language.
"Ugbua, ibu ndụ m niile na arụgide m n'ubu","esterday, I was at home when I suddenly fell ill."
"N'etiti ihe odide sitere na ya na Binti na akwukwo ya bụ ""Lagoon,"" Okorafor na-ekwu maka ịhe banyere mmuo na mgbakwasi nke ọrụ ya - na otu o si emeghe ụzọ dị iche iche site n'ịde ịhe gbasara Afrofuturism (Akụkọ Sayensị ndị Afrika)","In the beginning of the story, the thing that stands out about Binti and her surroundings is the ""Lagoon,"" Okorafor speaks about the different aspects of her culture and the challenges of her work - and how she defies traditional norms in terms of Afrofuturism (African Science Fiction)."
"e ji m mkpịsịaka hichapụ otjize n'ihu isi m m wee sekpuru ala wee metụ mkpịsị aka n'aja, na-agbari ụrọ na-esi isi ọma n'ime ya.","I had a headache yesterday, so I rubbed some menthol balm on my forehead and took some painkillers, and it relieved the pain in my head."""
Nke a bụ izizi m na emere onwe m isiike na ndụ m niile,That which is my concern is to ensure peace and happiness in my home.
"Ọ bụrụ kwanụ na nwa agbọghọ Afrika si na ezinụlọ dị n'otu akụkụ nke Afrika n'ọdịnihu ka anabatara na mahadum nke kacha mma na ụzọ kpakpando dị na ngapụ ụwa? Ọ bụrụ kwanụ ma ọ chọọ ịga? Nke a bụ nkewapụta si na akụkọ ""Binti"" di ụzọ atọ","s it possible that the future of African science fiction lies in the exploration of African mythology to create a rich tapestry of storytelling that reflects the beauty and complexity of the world? Is this something you believe in? This is the premise of the novel ""Binti"" by Nnedi Okorafor."
"Ana m ahapụ n'etiti abalị, ma ha amaghịị","I woke up early in the morning, but he did not."
"Ụgbọ nje m ka na arụ ọrụ Aga m eru ebe ahụ n'oge A kwụụrụ m ọto, kwụsịnata, wee mechie anya m","I thought that my Aga work was at that place when I got there, unfortunately, it was a different place."""
"Ọ na emebikarị, mgbe ọbụla ana m ebidokarị ya ọtụtụ oge tupu ọ rụọ ọrụ ""Biko ọ bụghị ugbua, biko ọ bụghị ugbua,"" e kwuru m n'ime obi m","t is surprising that whenever everyone else is ignoring it, the moment I pay attention to it, it keeps repeating ""Please don't go, please don't go,"" it touches my heart."
A gbanyere m ụgbọ njem wee kpee ekpere n'ime obi m Amaghị m ihe m ga-eme ma ọ bụrụ na ọ rụghị ọrụ Ụgbọ njem mụ dị ọnụ ala ya bụ na otu ntụpọ mmiri ma ọ bụ otu mkpụrụ aja ga eme ya ka ọ mebie,He told me that my friend's prayer will be answered. I am hopeful that it will happen because he never fails. My friend's words are like a flowing river or a roaring waterfall that will carry it through.
"M wee jiri nwayọ kwuo ""Daalụ,""","I will teach you how to say ""Thank you."""
Ugbua aga m eru n'ugbọelu ahụ n'oge,"The tortoise climbed the tree in the evening"""
Daalu nu.,Thank you.
Ọ bụ ije kilomita n'ogologo ụzọ ọzara gbara ọchịchịrị,It is a journey of several kilometers through rough terrain.
"""Akụkọ sayensi m nwere nna ochie dị iche iche - nke ndị Afrika,"" ka onye edemede bụ Nnedi Okorafor na-ekwu","""The science fiction genre has a dark history - in Africa,"" said the writer Nnedi Okorafor."
Chee maka m.,"Chee maka m."" English: ""Show me."""
"Ikwu eziokwu gbasara otu ahu si e me anyi, a naghi e gosi a dighi ike anyi; o bu akara na-anyi bu nmadu.","The truth about that matter is that if we don't speak up, we won't be able to make a difference; we are our own voice."
"Gwa ndi okacha ibe na-elekota, ndi oria o buru na ahu esighi gi ike gosiputa ya na-enwegi egwu o bula",Tell those who are always gossiping that sick people do not have the strength to dance at your funeral.
(Iku aka),"The translation of ""Iku aka"" to English is ""handshake""."
"N'agbanyeghi ihem maara gbasara isu izu oke na akuko ihe di ozo n'agabiga, Mu onwem, na-agabigazikwa nke m, mana o nweghi onye m nwere ike i gwa, n'ihi n'egwu na-atuzikwa m, Otu a k'egwu anyi i bu onye ara siri di omimi.","No matter how much talk there is about the yam festival and other things happening in the village, in my mind, it is clear to me that no one else has the ability to tell, because when the music starts playing, it is only our own people who truly understand."""
"Anyi niile-- o kachasi ndi Africa -- kwesiri i ghota na ihe anyi na-agabiga a dighi e gosi adighi ike anyi, nke mkpagwu n'eyi anyi egwu ji e mebi ume anyi","We are all one - regardless of being Africans - determined to achieve what we set out to do without letting anything deter us, as the strength in our unity is the foundation on which we dance towards our progress."
O di mkpa n'anyi kwusiri ita ahuhu ma daa ogbi k'aturu a na-akpuchasi aji,We are determined to work hard and persevere until the end to achieve success.
(Iku aka),"The translation of ""Iku aka"" to English is ""handshake""."
O ge erugo i ji kwusi i kpa oke gbasara ndi isi mgbaka,e was so stubborn that they had to tie him up with a rope because of the community leaders.
"Ya bu, oge ozo i nuru maka ""mental,"" e chela naani maka onye ara","Yes, it is time to talk about 'mental,' it is important for one's well-being."""
Kwupute ihe i na-agabiga,"The translation of ""Kwupute ihe i na-agabiga"" to English is ""Tell me what is happening."""
o bughi naani onwe gi kwu,"It means ""It's not good for you to die"" in English."
"A nonyerem ya oge obodo ya gbaketara ya azu, n'ihi na ihunanya anyi sikwara ike.","I saw him the last time he visited his hometown, because our love gives us strength."
"Dika onye mgbazi na Mahadum m kuziri ka m gusiri akwukwo, E nyekwara m umu akwukwo Mahadum aka na nsogbu gbasara isi izu oke ha","s a hunter in Mahadum, when I set traps to catch animals, the children of Mahadum would give me trouble about going to the forest to check them."
Gwa ndi enyi gi,"""Go and tell your people."""
Gwa ndi i huru n'anya,"The translation of ""Gwa ndi i huru n'anya"" from Igbo to English is ""Tell those who have eyes to see."""
Anyi ga-akwusi i neghara ndi oria na kwa oria ha n'aya.,We will inform the patients to come to the hospital for their check-up.
O kwesiri k'anyi ghota n'isi izu oke dikwa mkpa dika ahu izu oke,"We can meet at the top of the hill, it's as easy as that hill."
A huru m k'umu akwukwo Africa si adoli mana ha adighi ekwe agwa onye o bula,They told me to bring African fabrics to the market but they didn't specify whose shop to take them to.
"Mana kwuo na i naghi eche uche nke oma, Onye amuma obodo ebido ichu gi ajo mmuo ma na-ebogide ya amusi obodu gi.","But remember that no matter how good you are, the person who wakes you up from sleep is better than you."
"Site n'onodu enyi m, e sokwam were kee ogbako ndi nwere nmasi gbasara isi izu oke n'ulo akwukwo koleeji anyi","Tell your friend that they should bring the basket of vegetables that we need for the cooking competition at our school's college."""
A nukwara m ntamu,I am looking for my bag.
"""I nuru n'isi agbakaala ya?"" ""O yi bago ara!"" Okwu mkpari na nneda anya gbasara onodu ya -- okwu enweghi ike ikwu gbasara onye n'aria cancer ma o bu oria anwunta","Is he losing his mind?"" ""He is behaving strangely!"" The conversation about his behavior is causing concern -- there is no ability to reason with someone suffering from cancer or a mental illness."
"ufodu oge, e kwute okwu oria isi mgbaka, amaghi ihe anyi n'ekpuchi obi ime ebere anyi","After some time, he finally spoke about the headache, there is nothing we have not discussed that is bothering our hearts in our relationship."
"N'ezie, e bidoro m nwebe nmasi gbasara isi izu oke","esterday, my friend invited me to a party at the village square."
"Enyim kasi hunanya n'uwa niile-- ezigbo nwoke mara nma, ma marakwa akwukwo nke ukwu-- nwere oria 'schizophrenia' site na nchoputa ulo ogwu","My mind is troubled in this world-- a good man is respected, but also mocked by the elders-- he has a mental illness 'schizophrenia' that requires medical attention"
I kpa oke a na-akpaso ndi isi mgbaka n'eme ka ha dika ndi achupuru achupu nakwa ndi a juru aju,"I climbed the hill to meet the elders gathered there, behaving as if they were the only wise ones and those who knew everything."""
"N'afo 2009, A nataram ozi site n'igwe eji ekwu okwu, n'otu abali","In 2009, He saw a sign in the sky that spoke in a language, in the night."
"Ndi enyi soro anyi were too, gbanwere ma kpawa oke","Those who talk too much, also make big mistakes."
"iri na abuo, si na o bukwa amusu","leven and twelve, say that it is a dozen"
a nukwaram ochi azu,He is chasing a dog.
Nke kazi njo buzi n'anyi enweghi otutu ndi oka ibe n'ahu maka isi izu oke n'Africa,The work we are doing is very important because we do not have enough cold storage facilities in Africa.
"Na nghota nke m, Ikpa oke si na mkpebi obi nke nmadu","My friend's motorcycle, Ikpa, is parked in front of the man's house."
"Na Uganda, Na Somalia, Nakwa ebea bu Nigeria.","In Uganda, in Somalia, and also in Nigeria."
Onye n'edeta okwa; Robin Hammond detukwara ufodu ikpa okea..,The person who eats alone; Robin Hammond took a picture of a lonely child.
"Na nchoputa nke Arboleda-Florez, oge o juru si, ""kedu ihe n'ebute isi mgbaka?"" iri ato na ano n'ime otu nari si n'o bu ogwu n'aba n'isi; iri n'itoolu si na o bu iwe si na chi nakwa otu chi siri choo ya--","uring Arboleda-Florez's investigation, at a point, he asked, ""what is causing the headache?"" twelve months later in a room he referred to as a shrine; twelve days later, he concluded that it was a book and that it was a god that had chosen him--"
"N'Africa niile, iri itoolu n'ime otu nari nmadu a naghi e nweta ezigbo ogwu ahu ike","In all of Africa, only two out of every ten people have access to good healthcare."
"Mana ufodu kwuputezikwara ihe ndi ozo nwere ike i bute ya, dika site n'obara nne na nna, inwe ma o bu enweghi ego, agha, esemokwu ma o bu onwu onye nmadu huru n'anya","However, before you criticize what others have the ability to do, such as the way they raise their children, or their lack of money, education, or even their appearance, remember that no one is perfect."
"Agwa anyi na-akpa mgbe o bula ekwutere okwu isi izu oke, bu nke ikpa oke, amaghi ihe, amam ikpe, egwu, na kwa iwe","Our meeting was interrupted when he suddenly started speaking in a loud voice, saying nothing, just making noise, dancing, and laughing."
"N'ihi nkea, anyi n'anwu n'ekwughi okwu, na kwa i kpa oke a na-akpa n'etiti ndi ahu di na ndi ahu adighi.","Because of this, we woke up early in the morning, and when we got to the place, we found out that those people were not there."
"Site n'ozuzu m nwetara n'West Africa, O bu onye ara bu isi ruru unyi, gbakwara oto a kpaghari na-agbata anyi n'obi mgbe o bula ekwuru 'mental.' Anyi maara onye ara ahu nke oma","The person I met in West Africa is a very intelligent individual, he drives a car that catches our attention whenever he passes by, we call him 'mental.' We admire his intelligence."
"N'agbanyeghi nkea, otutu ndi ochichi Africa na-aroputa naani otu n'ime uzo otu nari bojeeti ahu ike obodo ha i ji kwado isi izu oke.","n the absence of this, the coldness of the African nights can be felt in one's bones as they struggle to find their way through the dark streets of their village to get home before the start of the rainy season."
"Na Nigeria, i ji maa atu, o bu nari abuo n'ime obodo ndi no n'ime ya ruru nde nari abuo","In Nigeria, when you are eating, it is customary for both people in the community and those eating to share with each other."
"Gburugburu uwa niile, iri asaa na ise ime otu nari onodu isi mgbaka o bula n'esite n'obodo otutu ndi bi n'aya bu ogbenye","The entire world is in chaos, twelve hours in a day and night is like a single moment, the head of a tortoise is as hard as a rock in the cold land where the wise ones live."
"""Nne,nne, gini mere o jikwa buru onye ara?"" o bu ""ogwu na-aba n'isi! ilegodu y'anya,ihe mere ya, emee gi.""","Mother, mother, what is happening that you are shouting at a mad person?"" It is ""medicine in the head! Madness of the eyes, whatever happened to him, thank you."""
"Nzuko World Health Organisation, kwukwara na isi izu oke bu i nwe ike i ji gabiga ihe na esogbu anyi kwa ubochi; i ji were na-aru olu ga amita mkpuru; nakwa i nwe ike meere obodo gi ezigbo ihe",The World Health Organization emphasizes that having a strong healthcare system is essential for addressing challenges that affect us daily; it is important to prioritize preventive measures; and also to ensure your community has access to good healthcare.
Isi izu oke gunyere uche izu onu na kwa mmeko mmadu n'ibe ya,The head of the meeting determines the direction of the meeting and how people behave in it.
Nne na nna anyi doro anyi aka na nti gbasara ya,Our mother and father held our hands when it mattered.
"N' etiti nnukwu nsogbu m, A gabigakwala m nnukwu egwu","In the middle of a big problem, I started dancing."
"Oria oyi yaa gi, nne gi ga-ebuze gi n'ulo ogwu k'agwoo gi","If you are sick, your mother will take you to the hospital to get better."""
"A kporo m nwanne m nwoke, ma chikwa ochi megide ndi oyibo-- na kwa oria di iche iche ha na-aya-- nchegbu, na kwa ihe ndi ozo","He told me my male sibling, but it sounded like the white people's language-- full of strange words they speak-- confusing, and other things."
"m juom onwe si, ""ara a na-ayi ya?"" O makwa n'abu m dimkpa Africa?","I asked myself, ""Is this how it is done?"" Or am I just dreaming about Africa?"
A kam gabigara iru uju nmadu asaa ndi nwuru n' otu onwa,I will attend the meeting of the group that meets every month.
Anyi na-e gbokwa mkpa anyi n'onwe anyi,We will help ourselves.
"Dika Okonkwo, n'ime ""Things Fall Apart,"" Anyi bu umu nwoke Africa anaghi ekwuputa ihe na-akpagbu anyi Anyi na-e gbokwa mkpa anyi n'onwe anyi","Like Okonkwo in ""Things Fall Apart,"" we African men do not want what is happening to us to happen to us, we must defend ourselves."
"O dikwam k'onweghi ihe m puru ime n'ihi omenala anyi n'Africa, gbasara obi isi ike nwoke kwesiri inwe","I understand that there is nothing I can do about our African culture, concerning a man's strong desire to have."
"""Ndi nmadu na enwe nsogbu,Sangu","""People who have problems, Sangu."""
"Onye n'eleta ndi ahu n'adighi, k' ometuru gbasara ihe m na-agabiga --Chukwu gozie mkpuruobi ya-- o juru m gbasara isi izu oke m","he person who betrays those people should be careful, let them remember what I have suffered -- God bless his betrayer -- it pains me to remember my past experiences."
(Iku aka),"The translation of ""Iku aka"" to English is ""handshake""."
"Nagide onwe gi"" Oge mbu m nuru maka ""isi izu oke,"" E sim Ghana puta ohuu, banye na Ulo akwukwo e be obibi, a kporo Peddie di na New Jersey","I told myself, 'It's time to go because the meeting is at the top of the hill,' I left Ghana immediately, arrived at the library, and found Peddie in New Jersey."""
O dikwa m k'ajuru m aju,"It means ""It surprises me that I am surprised"" in English."
"E nwerem ezinulo huru m n'anya nke ukwu na ndi enyi m tukwasara obi, na agbanyeghi ya, ekweghi m agwa onye obula, gbasara ihe mgbu m","I have many cherished memories of my childhood and my parents that warm my heart, and I can't trade it for anything, no matter what I go through."
Ihere onwe juru m ahu,"The sentence ""Ihere onwe juru m ahu"" translates to ""What I have said is enough"" in English."
"Isi izu oke? Oriri m onu, e fekwara m isi n'iwe","Is the meeting place far? I am lost, please direct me to the venue."
